health_color,account_id,date,compute_credits_consumed
Red,ACC-00003,2026-06-11,14.52
Red,ACC-00003,2026-06-18,14.49
Red,ACC-00003,2026-06-25,16.46
Red,ACC-00003,2026-07-02,14.85
Red,ACC-00003,2026-07-09,19.9
Red,ACC-00003,2026-07-16,19.36
Red,ACC-00003,2026-07-23,18.79
Red,ACC-00003,2026-07-30,16.87
Red,ACC-00003,2026-08-06,21.35
Red,ACC-00003,2026-08-13,15.99
Red,ACC-00003,2026-08-20,17.97
Red,ACC-00003,2026-08-27,16.73
Red,ACC-00003,2026-09-03,17.95
Red,ACC-00003,2026-09-10,20.61
Red,ACC-00003,2026-09-17,20.15
Red,ACC-00003,2026-09-24,17.95
Red,ACC-00003,2026-10-01,21.27
Red,ACC-00003,2026-10-08,19.1
Red,ACC-00003,2026-10-15,14.93
Red,ACC-00003,2026-10-22,14.53
Red,ACC-00003,2026-10-29,17.85
Red,ACC-00003,2026-11-05,15.45
Red,ACC-00003,2026-11-12,17.08
Red,ACC-00003,2026-11-19,16.05
Red,ACC-00003,2026-11-26,20.53
Red,ACC-00003,2026-12-03,19.23
Red,ACC-00003,2026-12-10,20.3
Red,ACC-00003,2026-12-17,15.22
Red,ACC-00003,2026-12-24,20.95
Red,ACC-00003,2026-12-31,14.83
Red,ACC-00004,2026-01-01,2549.37
Green,ACC-00004,2026-01-08,2819.25
Green,ACC-00004,2026-01-15,3526.87
Green,ACC-00004,2026-01-22,2916.24
Green,ACC-00004,2026-01-29,3554.38
Green,ACC-00004,2026-02-05,3724.22
Green,ACC-00004,2026-02-12,2689.48
Green,ACC-00004,2026-02-19,3634.21
Green,ACC-00004,2026-02-26,3221.81
Green,ACC-00004,2026-03-05,2306.4
Green,ACC-00004,2026-03-12,2841.27
Green,ACC-00004,2026-03-19,3073.18
Green,ACC-00004,2026-03-26,2950.74
Green,ACC-00004,2026-04-02,3280.23
Green,ACC-00004,2026-04-09,2701.3
Green,ACC-00004,2026-04-16,3007.51
Yellow,ACC-00004,2026-04-23,3283.62
Green,ACC-00004,2026-04-30,3328.35
Green,ACC-00004,2026-05-07,4001.18
Green,ACC-00004,2026-05-14,3945.44
Green,ACC-00004,2026-05-21,3114.98
Green,ACC-00004,2026-05-28,3956.66
Red,ACC-00004,2026-06-04,0.0
Red,ACC-00004,2026-06-11,0.0
Red,ACC-00004,2026-06-18,0.0
Red,ACC-00004,2026-06-25,0.0
Red,ACC-00004,2026-07-02,0.0
Red,ACC-00004,2026-07-09,0.0
Red,ACC-00004,2026-07-16,0.0
Red,ACC-00004,2026-07-23,0.0
Red,ACC-00004,2026-07-30,0.0
Red,ACC-00004,2026-08-06,0.0
Red,ACC-00004,2026-08-13,0.0
Red,ACC-00004,2026-08-20,0.0
Red,ACC-00004,2026-08-27,0.0
Red,ACC-00004,2026-09-03,0.0
Red,ACC-00004,2026-09-10,0.0
Red,ACC-00004,2026-09-17,0.0
Yellow,ACC-00004,2026-09-24,0.0
Red,ACC-00004,2026-10-01,0.0
Red,ACC-00004,2026-10-08,0.0
Red,ACC-00004,2026-10-15,0.0
Red,ACC-00004,2026-10-22,0.0
Red,ACC-00004,2026-10-29,0.0
Red,ACC-00004,2026-11-05,0.0
Red,ACC-00004,2026-11-12,0.0
Red,ACC-00004,2026-11-19,0.0
Red,ACC-00004,2026-11-26,0.0
Red,ACC-00004,2026-12-03,0.0
Red,ACC-00004,2026-12-10,0.0
Red,ACC-00004,2026-12-17,0.0
Red,ACC-00004,2026-12-24,0.0
Red,ACC-00004,2026-12-31,0.0
Yellow,ACC-00005,2026-01-01,1733.32
Green,ACC-00005,2026-01-08,1519.03
Yellow,ACC-00005,2026-01-15,1764.12
Yellow,ACC-00005,2026-01-22,1496.2
Yellow,ACC-00005,2026-01-29,1550.26
Yellow,ACC-00005,2026-02-05,1428.12
Yellow,ACC-00005,2026-02-12,1623.02
Red,ACC-00005,2026-02-19,1642.07
Yellow,ACC-00005,2026-02-26,1656.27
Yellow,ACC-00005,2026-03-05,1781.5
Yellow,ACC-00005,2026-03-12,1702.86
Yellow,ACC-00005,2026-03-19,1422.37
Yellow,ACC-00005,2026-03-26,1410.57
Yellow,ACC-00005,2026-04-02,2059.03
Yellow,ACC-00005,2026-04-09,2028.4
Yellow,ACC-00005,2026-04-16,2036.19
Yellow,ACC-00005,2026-04-23,1638.56
Yellow,ACC-00005,2026-04-30,1632.62
Yellow,ACC-00005,2026-05-07,2006.7
Yellow,ACC-00005,2026-05-14,2013.1
Yellow,ACC-00005,2026-05-21,1658.87
Green,ACC-00005,2026-05-28,1886.59
Yellow,ACC-00005,2026-06-04,1859.96
Yellow,ACC-00005,2026-06-11,1685.42
Yellow,ACC-00005,2026-06-18,1720.5
Yellow,ACC-00005,2026-06-25,1537.74
Yellow,ACC-00005,2026-07-02,1619.27
Yellow,ACC-00005,2026-07-09,1366.61
Yellow,ACC-00005,2026-07-16,1594.2
Yellow,ACC-00005,2026-07-23,1770.08
Yellow,ACC-00005,2026-07-30,1545.3
Yellow,ACC-00005,2026-08-06,1741.04
Yellow,ACC-00005,2026-08-13,1429.82
Yellow,ACC-00005,2026-08-20,1484.28
Yellow,ACC-00005,2026-08-27,1484.23
Yellow,ACC-00005,2026-09-03,1355.77
Yellow,ACC-00005,2026-09-10,1534.66
Yellow,ACC-00005,2026-09-17,1311.47
Yellow,ACC-00005,2026-09-24,1643.02
Yellow,ACC-00005,2026-10-01,1569.78
Yellow,ACC-00005,2026-10-08,1875.23
Yellow,ACC-00005,2026-10-15,1858.98
Yellow,ACC-00005,2026-10-22,1648.52
Yellow,ACC-00005,2026-10-29,1783.35
Yellow,ACC-00005,2026-11-05,1483.02
Yellow,ACC-00005,2026-11-12,1160.51
Yellow,ACC-00005,2026-11-19,1322.66
Yellow,ACC-00005,2026-11-26,1401.46
Yellow,ACC-00005,2026-12-03,1356.79
Yellow,ACC-00005,2026-12-10,1518.84
Yellow,ACC-00005,2026-12-17,1214.25
Yellow,ACC-00005,2026-12-24,1357.9
Yellow,ACC-00005,2026-12-31,1385.21
Yellow,ACC-00006,2026-01-01,414.52
Yellow,ACC-00006,2026-01-08,456.04
Yellow,ACC-00006,2026-01-15,426.12
Yellow,ACC-00006,2026-01-22,541.35
Yellow,ACC-00006,2026-01-29,590.96
Yellow,ACC-00006,2026-02-05,426.91
Yellow,ACC-00006,2026-02-12,462.72
Yellow,ACC-00006,2026-02-19,529.93
Yellow,ACC-00006,2026-02-26,558.71
Yellow,ACC-00006,2026-03-05,624.15
Yellow,ACC-00006,2026-03-12,480.54
Yellow,ACC-00006,2026-03-19,534.74
Yellow,ACC-00006,2026-03-26,701.66
Yellow,ACC-00006,2026-04-02,553.56
Yellow,ACC-00006,2026-04-09,675.82
Yellow,ACC-00006,2026-04-16,480.84
Yellow,ACC-00006,2026-04-23,476.57
Yellow,ACC-00006,2026-04-30,636.19
Green,ACC-00006,2026-05-07,614.3
Green,ACC-00006,2026-05-14,768.21
Green,ACC-00006,2026-05-21,780.42
Green,ACC-00006,2026-05-28,664.7
Green,ACC-00006,2026-06-04,685.28
Green,ACC-00006,2026-06-11,580.23
Green,ACC-00006,2026-06-18,764.94
Green,ACC-00006,2026-06-25,606.03
Green,ACC-00006,2026-07-02,703.54
Green,ACC-00006,2026-07-09,768.78
Green,ACC-00006,2026-07-16,593.6
Green,ACC-00006,2026-07-23,705.33
Green,ACC-00006,2026-07-30,872.53
Green,ACC-00006,2026-08-06,745.0
Green,ACC-00006,2026-08-13,723.79
Green,ACC-00006,2026-08-20,688.09
Green,ACC-00006,2026-08-27,564.99
Green,ACC-00006,2026-09-03,659.05
Green,ACC-00006,2026-09-10,721.53
Green,ACC-00006,2026-09-17,686.74
Green,ACC-00006,2026-09-24,706.98
Green,ACC-00006,2026-10-01,912.37
Green,ACC-00006,2026-10-08,828.71
Green,ACC-00006,2026-10-15,780.16
Green,ACC-00006,2026-10-22,739.97
Green,ACC-00006,2026-10-29,681.09
Green,ACC-00006,2026-11-05,765.28
Green,ACC-00006,2026-11-12,792.93
Green,ACC-00006,2026-11-19,764.55
Green,ACC-00006,2026-11-26,824.47
Red,ACC-00006,2026-12-03,670.6
Green,ACC-00006,2026-12-10,818.78
Green,ACC-00006,2026-12-17,759.41
Green,ACC-00006,2026-12-24,830.68
Green,ACC-00006,2026-12-31,802.93
Yellow,ACC-00007,2026-01-01,5869.95
Yellow,ACC-00007,2026-01-08,4993.67
Yellow,ACC-00007,2026-01-15,6753.26
Yellow,ACC-00007,2026-01-22,5564.87
Red,ACC-00007,2026-01-29,6599.45
Green,ACC-00007,2026-02-05,7601.67
Yellow,ACC-00007,2026-02-12,7132.99
Yellow,ACC-00007,2026-02-19,5835.16
Yellow,ACC-00007,2026-02-26,7232.09
Yellow,ACC-00007,2026-03-05,5175.66
Yellow,ACC-00007,2026-03-12,5411.09
Yellow,ACC-00007,2026-03-19,5599.3
Yellow,ACC-00007,2026-03-26,5938.97
Yellow,ACC-00007,2026-04-02,4438.39
Yellow,ACC-00007,2026-04-09,4502.45
Yellow,ACC-00007,2026-04-16,6085.47
Green,ACC-00007,2026-04-23,4355.43
Yellow,ACC-00007,2026-04-30,5251.94
Yellow,ACC-00007,2026-05-07,6733.97
Yellow,ACC-00007,2026-05-14,5861.48
Yellow,ACC-00007,2026-05-21,5129.86
Yellow,ACC-00007,2026-05-28,6941.88
Yellow,ACC-00007,2026-06-04,5539.79
Yellow,ACC-00007,2026-06-11,6217.45
Yellow,ACC-00007,2026-06-18,5894.32
Yellow,ACC-00007,2026-06-25,5223.91
Yellow,ACC-00007,2026-07-02,6054.09
Yellow,ACC-00007,2026-07-09,6224.41
Yellow,ACC-00007,2026-07-16,5378.7
Yellow,ACC-00007,2026-07-23,6418.56
Yellow,ACC-00007,2026-07-30,5819.22
Yellow,ACC-00007,2026-08-06,5806.75
Yellow,ACC-00007,2026-08-13,5899.46
Yellow,ACC-00007,2026-08-20,6158.23
Yellow,ACC-00007,2026-08-27,4899.78
Yellow,ACC-00007,2026-09-03,6644.21
Yellow,ACC-00007,2026-09-10,5391.15
Yellow,ACC-00007,2026-09-17,6585.1
Yellow,ACC-00007,2026-09-24,5164.68
Yellow,ACC-00007,2026-10-01,4896.85
Yellow,ACC-00007,2026-10-08,4492.97
Yellow,ACC-00007,2026-10-15,4435.38
Yellow,ACC-00007,2026-10-22,6084.3
Yellow,ACC-00007,2026-10-29,4406.32
Yellow,ACC-00007,2026-11-05,5888.07
Yellow,ACC-00007,2026-11-12,5885.6
Yellow,ACC-00007,2026-11-19,5751.03
Yellow,ACC-00007,2026-11-26,5220.95
Yellow,ACC-00007,2026-12-03,5530.23
Green,ACC-00007,2026-12-10,6629.98
Yellow,ACC-00007,2026-12-17,5738.24
Yellow,ACC-00007,2026-12-24,6699.49
Yellow,ACC-00007,2026-12-31,5489.98
Green,ACC-00008,2026-01-01,1466.71
Green,ACC-00008,2026-01-08,1544.21
Green,ACC-00008,2026-01-15,1594.9
Green,ACC-00008,2026-01-22,1266.94
Green,ACC-00008,2026-01-29,1218.88
Green,ACC-00008,2026-02-05,1848.01
Green,ACC-00008,2026-02-12,1644.0
Green,ACC-00008,2026-02-19,1960.13
Green,ACC-00008,2026-02-26,1367.53
Green,ACC-00008,2026-03-05,1784.07
Green,ACC-00008,2026-03-12,2164.34
Green,ACC-00008,2026-03-19,1926.14
Green,ACC-00008,2026-03-26,1876.42
Green,ACC-00008,2026-04-02,1695.62
Green,ACC-00008,2026-04-09,1697.34
Green,ACC-00008,2026-04-16,1866.29
Green,ACC-00008,2026-04-23,2148.83
Green,ACC-00008,2026-04-30,1622.9
Red,ACC-00008,2026-05-07,1700.78
Green,ACC-00008,2026-05-14,2160.21
Green,ACC-00008,2026-05-21,2069.1
Green,ACC-00008,2026-05-28,2211.86
Green,ACC-00008,2026-06-04,1791.3
Green,ACC-00008,2026-06-11,1607.59
Green,ACC-00008,2026-06-18,1747.49
Green,ACC-00008,2026-06-25,2107.73
Yellow,ACC-00008,2026-07-02,2141.33
Green,ACC-00008,2026-07-09,1774.05
Green,ACC-00008,2026-07-16,1927.22
Green,ACC-00008,2026-07-23,1738.73
Green,ACC-00008,2026-07-30,2224.23
Red,ACC-00008,2026-08-06,1836.09
Red,ACC-00008,2026-08-13,2428.65
Green,ACC-00008,2026-08-20,2589.68
Green,ACC-00008,2026-08-27,2078.94
Green,ACC-00008,2026-09-03,2208.33
Green,ACC-00008,2026-09-10,2633.39
Yellow,ACC-00008,2026-09-17,2240.1
Green,ACC-00008,2026-09-24,1875.52
Green,ACC-00008,2026-10-01,2373.52
Green,ACC-00008,2026-10-08,2523.57
Green,ACC-00008,2026-10-15,2278.84
Green,ACC-00008,2026-10-22,1928.63
Green,ACC-00008,2026-10-29,2048.38
Green,ACC-00008,2026-11-05,2695.96
Green,ACC-00008,2026-11-12,2689.39
Green,ACC-00008,2026-11-19,2919.59
Green,ACC-00008,2026-11-26,2929.28
Green,ACC-00008,2026-12-03,2457.57
Green,ACC-00008,2026-12-10,2576.85
Green,ACC-00008,2026-12-17,2659.82
Green,ACC-00008,2026-12-24,2038.02
Green,ACC-00008,2026-12-31,2331.35
Green,ACC-00009,2026-01-01,838.1
Green,ACC-00009,2026-01-08,676.18
Green,ACC-00009,2026-01-15,983.67
Green,ACC-00009,2026-01-22,979.9
Green,ACC-00009,2026-01-29,893.9
Green,ACC-00009,2026-02-05,788.63
Green,ACC-00009,2026-02-12,997.95
Green,ACC-00009,2026-02-19,825.17
Green,ACC-00009,2026-02-26,971.25
Green,ACC-00009,2026-03-05,779.68
Green,ACC-00009,2026-03-12,825.18
Green,ACC-00009,2026-03-19,896.62
Green,ACC-00009,2026-03-26,621.06
Green,ACC-00009,2026-04-02,890.39
Green,ACC-00009,2026-04-09,668.39
Yellow,ACC-00009,2026-04-16,856.99
Green,ACC-00009,2026-04-23,653.71
Green,ACC-00009,2026-04-30,790.83
Green,ACC-00009,2026-05-07,880.58
Green,ACC-00009,2026-05-14,771.9
Green,ACC-00009,2026-05-21,635.96
Green,ACC-00009,2026-05-28,853.8
Green,ACC-00009,2026-06-04,612.51
Green,ACC-00009,2026-06-11,796.36
Green,ACC-00009,2026-06-18,713.96
Green,ACC-00009,2026-06-25,874.03
Green,ACC-00009,2026-07-02,635.43
Green,ACC-00009,2026-07-09,607.55
Green,ACC-00009,2026-07-16,753.83
Green,ACC-00009,2026-07-23,774.63
Green,ACC-00009,2026-07-30,704.16
Yellow,ACC-00009,2026-08-06,684.05
Green,ACC-00009,2026-08-13,613.41
Green,ACC-00009,2026-08-20,559.52
Green,ACC-00009,2026-08-27,532.88
Green,ACC-00009,2026-09-03,678.08
Green,ACC-00009,2026-09-10,747.49
Green,ACC-00009,2026-09-17,770.24
Green,ACC-00009,2026-09-24,732.34
Green,ACC-00009,2026-10-01,530.41
Green,ACC-00009,2026-10-08,651.27
Green,ACC-00009,2026-10-15,574.62
Green,ACC-00009,2026-10-22,542.5
Green,ACC-00009,2026-10-29,737.72
Green,ACC-00009,2026-11-05,672.99
Green,ACC-00009,2026-11-12,761.11
Green,ACC-00009,2026-11-19,658.81
Green,ACC-00009,2026-11-26,713.96
Green,ACC-00009,2026-12-03,567.34
Green,ACC-00009,2026-12-10,636.85
Green,ACC-00009,2026-12-17,593.49
Green,ACC-00009,2026-12-24,698.0
Green,ACC-00009,2026-12-31,766.07
Green,ACC-00010,2026-01-01,1628.26
Green,ACC-00010,2026-01-08,1606.16
Green,ACC-00010,2026-01-15,1712.19
Green,ACC-00010,2026-01-22,1410.07
Green,ACC-00010,2026-01-29,1384.51
Green,ACC-00010,2026-02-05,1846.81
Green,ACC-00010,2026-02-12,1695.15
Yellow,ACC-00010,2026-02-19,1894.86
Green,ACC-00010,2026-02-26,1852.8
Red,ACC-00010,2026-03-05,1351.99
Green,ACC-00010,2026-03-12,1499.13
Green,ACC-00010,2026-03-19,1218.37
Green,ACC-00010,2026-03-26,1807.35
Green,ACC-00010,2026-04-02,1585.54
Green,ACC-00010,2026-04-09,2064.34
Green,ACC-00010,2026-04-16,2070.23
Green,ACC-00010,2026-04-23,1562.91
Green,ACC-00010,2026-04-30,1987.4
Green,ACC-00010,2026-05-07,1390.17
Yellow,ACC-00010,2026-05-14,1608.08
Green,ACC-00010,2026-05-21,1613.19
Green,ACC-00010,2026-05-28,1580.08
Red,ACC-00010,2026-06-04,1923.64
Green,ACC-00010,2026-06-11,1437.96
Green,ACC-00010,2026-06-18,1935.37
Green,ACC-00010,2026-06-25,1389.59
Green,ACC-00010,2026-07-02,1614.59
Green,ACC-00010,2026-07-09,2003.19
Green,ACC-00010,2026-07-16,1726.05
Green,ACC-00010,2026-07-23,1718.14
Green,ACC-00010,2026-07-30,1821.23
Green,ACC-00010,2026-08-06,1820.29
Green,ACC-00010,2026-08-13,1849.34
Green,ACC-00010,2026-08-20,1880.07
Green,ACC-00010,2026-08-27,1911.34
Green,ACC-00010,2026-09-03,2219.63
Green,ACC-00010,2026-09-10,1953.79
Green,ACC-00010,2026-09-17,1830.46
Green,ACC-00010,2026-09-24,1985.86
Green,ACC-00010,2026-10-01,1643.57
Green,ACC-00010,2026-10-08,1503.01
Green,ACC-00010,2026-10-15,1853.37
Green,ACC-00010,2026-10-22,1362.56
Green,ACC-00010,2026-10-29,1826.53
Yellow,ACC-00010,2026-11-05,2239.66
Green,ACC-00010,2026-11-12,1857.36
Green,ACC-00010,2026-11-19,1704.65
Green,ACC-00010,2026-11-26,1892.82
Green,ACC-00010,2026-12-03,1746.97
Green,ACC-00010,2026-12-10,2100.93
Green,ACC-00010,2026-12-17,1591.24
Green,ACC-00010,2026-12-24,1528.23
Green,ACC-00010,2026-12-31,1853.21
Green,ACC-00011,2026-01-01,539.09
Green,ACC-00011,2026-01-08,644.26
Green,ACC-00011,2026-01-15,504.41
Green,ACC-00011,2026-01-22,507.34
Green,ACC-00011,2026-01-29,501.34
Green,ACC-00011,2026-02-05,560.36
Green,ACC-00011,2026-02-12,679.76
Green,ACC-00011,2026-02-19,635.55
Green,ACC-00011,2026-02-26,676.05
Green,ACC-00011,2026-03-05,578.77
Green,ACC-00011,2026-03-12,654.14
Green,ACC-00011,2026-03-19,595.74
Green,ACC-00011,2026-03-26,672.19
Green,ACC-00011,2026-04-02,735.54
Red,ACC-00011,2026-04-09,558.46
Green,ACC-00011,2026-04-16,683.6
Green,ACC-00011,2026-04-23,660.59
Green,ACC-00011,2026-04-30,702.77
Green,ACC-00011,2026-05-07,706.6
Green,ACC-00011,2026-05-14,806.93
Green,ACC-00011,2026-05-21,717.8
Green,ACC-00011,2026-05-28,792.79
Green,ACC-00011,2026-06-04,663.37
Green,ACC-00011,2026-06-11,748.81
Yellow,ACC-00011,2026-06-18,630.78
Green,ACC-00011,2026-06-25,739.15
Green,ACC-00011,2026-07-02,706.79
Green,ACC-00011,2026-07-09,898.04
Green,ACC-00011,2026-07-16,787.63
Green,ACC-00011,2026-07-23,783.67
Green,ACC-00011,2026-07-30,860.26
Green,ACC-00011,2026-08-06,929.53
Green,ACC-00011,2026-08-13,760.67
Green,ACC-00011,2026-08-20,747.37
Red,ACC-00011,2026-08-27,898.31
Green,ACC-00011,2026-09-03,769.19
Green,ACC-00011,2026-09-10,747.04
Red,ACC-00011,2026-09-17,691.96
Green,ACC-00011,2026-09-24,796.97
Green,ACC-00011,2026-10-01,815.22
Green,ACC-00011,2026-10-08,786.13
Green,ACC-00011,2026-10-15,787.46
Green,ACC-00011,2026-10-22,755.59
Green,ACC-00011,2026-10-29,960.35
Green,ACC-00011,2026-11-05,853.09
Green,ACC-00011,2026-11-12,1025.82
Green,ACC-00011,2026-11-19,936.19
Green,ACC-00011,2026-11-26,974.74
Yellow,ACC-00011,2026-12-03,890.74
Green,ACC-00011,2026-12-10,899.74
Green,ACC-00011,2026-12-17,810.37
Yellow,ACC-00011,2026-12-24,905.71
Green,ACC-00011,2026-12-31,930.13
Green,ACC-00012,2026-01-01,557.37
Yellow,ACC-00012,2026-01-08,572.36
Yellow,ACC-00012,2026-01-15,650.12
Yellow,ACC-00012,2026-01-22,589.29
Yellow,ACC-00012,2026-01-29,584.47
Green,ACC-00012,2026-02-05,631.22
Green,ACC-00012,2026-02-12,521.42
Green,ACC-00012,2026-02-19,546.95
Green,ACC-00012,2026-02-26,622.61
Green,ACC-00012,2026-03-05,621.92
Green,ACC-00012,2026-03-12,661.78
Green,ACC-00012,2026-03-19,705.99
Green,ACC-00012,2026-03-26,742.03
Green,ACC-00012,2026-04-02,620.58
Green,ACC-00012,2026-04-09,753.38
Green,ACC-00012,2026-04-16,562.21
Green,ACC-00012,2026-04-23,819.35
Green,ACC-00012,2026-04-30,734.66
Green,ACC-00012,2026-05-07,846.36
Green,ACC-00012,2026-05-14,910.93
Green,ACC-00012,2026-05-21,638.65
Green,ACC-00012,2026-05-28,911.48
Green,ACC-00012,2026-06-04,630.0
Green,ACC-00012,2026-06-11,756.88
Green,ACC-00012,2026-06-18,579.95
Green,ACC-00012,2026-06-25,718.11
Green,ACC-00012,2026-07-02,760.48
Green,ACC-00012,2026-07-09,758.69
Green,ACC-00012,2026-07-16,932.12
Green,ACC-00012,2026-07-23,830.32
Green,ACC-00012,2026-07-30,758.07
Green,ACC-00012,2026-08-06,979.88
Green,ACC-00012,2026-08-13,972.3
Green,ACC-00012,2026-08-20,849.97
Green,ACC-00012,2026-08-27,844.89
Green,ACC-00012,2026-09-03,896.82
Green,ACC-00012,2026-09-10,651.47
Green,ACC-00012,2026-09-17,731.07
Green,ACC-00012,2026-09-24,805.13
Green,ACC-00012,2026-10-01,949.07
Green,ACC-00012,2026-10-08,927.55
Green,ACC-00012,2026-10-15,824.21
Green,ACC-00012,2026-10-22,892.29
Green,ACC-00012,2026-10-29,869.8
Green,ACC-00012,2026-11-05,800.26
Yellow,ACC-00012,2026-11-12,803.43
Green,ACC-00012,2026-11-19,806.35
Green,ACC-00012,2026-11-26,863.05
Green,ACC-00012,2026-12-03,1077.58
Green,ACC-00012,2026-12-10,916.07
Green,ACC-00012,2026-12-17,1066.28
Green,ACC-00012,2026-12-24,946.8
Green,ACC-00012,2026-12-31,1108.23
Green,ACC-00013,2026-01-01,1281.08
